Region,Subregion,Country of Implementation
Global,Global,Global
Oceania,Melanesia,Fiji
Oceania,Micronesia,Kiribati
Oceania,Polynesia,Tuvalu
Oceania,Polynesia,Tonga
Oceania,Melanesia,Solomon Islands
Oceania,Polynesia,Samoa
Oceania,Melanesia,Papua New Guinea
Oceania,Micronesia,Nauru
Oceania,Micronesia,Micronesia
Oceania,Micronesia,Marshall Islands
Oceania,Micronesia,Palau
Asia,South-eastern Asia,Indonesia
Europe,Southern Europe,Bosnia and Herzegovina
Europe,Eastern Europe,Belarus
Europe,Eastern Europe,Czechia
Asia,Western Asia,Georgia
Asia,South-eastern Asia,Singapore
Americas,South America,Ecuador
Asia,Southern Asia,Maldives
Africa,Eastern Africa,Zimbabwe
Asia,Eastern Asia,Mongolia
Africa,Eastern Africa,Kenya
Africa,Eastern Africa,Ethiopia
Asia,Western Asia,Syrian Arab Republic
Africa,Northern Africa,Sudan
Africa,Middle Africa,Central African Republic
Europe,"Eastern Europe, Southern Europe, Northern Europe, Western Europe",EU countries
Asia,Eastern Asia,China
Africa,Eastern Africa,Madagascar
Asia,South-eastern Asia,Cambodia
Asia,Southern Asia,India
Asia,Western Asia,Armenia
Asia,Southern Asia,Pakistan
Asia,Southern Asia,Bangladesh
Oceania,Australia and New Zealand,New Zealand
Asia,South-eastern Asia,Philippines
Asia,Southern Asia,Bhutan
Asia,Southern Asia,Sri Lanka
Asia,Southern Asia,Nepal
Americas,Northern America,United States of America
Asia,South-eastern Asia,Laos
Asia,Southern Asia,"India, Nepal"
Asia,South-eastern Asia,Thailand
Oceania,Melanesia,Vanuatu
Americas,Central America,Mexico
Asia,Eastern Asia,Japan
Americas,South America,Colombia
Africa,Middle Africa,Democratic Republic of the Congo
Africa,Western Africa,Nigeria
Africa,Eastern Africa,Zambia
Africa,Eastern Africa,Mozambique
Africa,Middle Africa,South Sudan
Africa,Eastern Africa,Rwanda
Americas,South America,Brazil
Africa,Eastern Africa,Malawi
Americas,Caribbean,Jamaica
Americas,Central America,Panama
Americas,South America,Argentina
