Ideas/Concepts/Examples,Country of Implementation,uuid
#JustSaveIt,Indonesia,f4fac34a-4d32-4351-9ff3-f4a3b74a72d5
4W-Wizard: AI Is Magical Tool For Faster Disaster Relief,Global,766083d4-f796-4d4b-9df5-4287fcf56e15
AgroVision,Singapore,02239963-c1b3-4f6d-bed8-39c6815c1f55
AI-powered decision making for disaster recovery,Global,910d87d1-1223-4292-a338-021776796d30
App Tanah,Global,bc349465-118d-4be1-a404-8478887eec60
Aqueduct Global Flood Risk Maps,Global,c5b5cf1f-069d-47b1-992e-792ce2af9a1b
Arko Philippines Typhoon Application,Philippines,b20398de-ab19-4957-948f-e9b228b49c68
Artificial Intelligence Weather Chatbot,Singapore,5685a5a8-fd5e-4d5a-8bb7-7ac83063ea00
Aselo,Jamaica,cf5b031e-5b85-42a3-a7d8-4eb829bcde8b
Audio-Processing-Based Human Detection at Disaster Sites With Unmanned Aerial Vehicle,Global,bc3e1913-32d1-49ce-8e5e-d56e21a217c0
"Be Healthy, Be Mobile (BHBM)",Global,993f9325-3545-45d5-9715-61849156e454
Beacon,Global,52511b23-6acd-4f1f-b74b-c6cc3061042d
Beidou Navigation Satellite System,China,da8ef951-2c79-47ed-8e1e-176fd6484f73
Bhutan Forest Fire Detection and Monitoring System,Bhutan,95f50eb8-a14f-4896-a4de-342c8ace19d1
Bioshi,Panama,b76b310b-8d77-4b61-8b9c-3a31e3ff0a8e
Bioverse,Brazil,7b150178-0445-40b4-b194-ff96a4903ac1
Blockchain Records for Refugees,"Syrian Arab Republic, Central African Republic, Sudan",b22e76cf-0b2a-4b68-b919-b49c5e1cc32e
C Bot ChatBot,Georgia,385b59db-f9d3-485a-bcb4-bbd07c6b0db2
Cholera outbreaks predicted using climate data and AI,India,16c3de48-bb2d-4a78-90fb-38cd0f2edeb7
Computer Vision Flood Forecasting using Remotely Sensed Data,"Bosnia and Herzegovina,  Czechia",ba561e4e-e27b-405a-b4d9-0cbea2416416
ConvNetQuake,United States of America,209b3166-0676-4df1-b506-3892c8302fe3
Crisis Mapping,Global,52ddce6c-eea3-4bba-93a6-ca0b3af59a5e
D-MOSS,Sri Lanka,4f3643b9-e176-4be8-9865-dfc45abfd249
D.U.Q. Method,Argentina,6eadc335-da1d-489b-abdf-9d928574db12
Data Visualization for Household and Building Damage Assessment,Global,94211e8b-da4b-4542-882a-06d9d1c9ff18
Data Visualization of COVID-19's Impact on Food Supply Chains,Zimbabwe,16e60b0b-d23f-4686-b0ad-f7078266ab04
Deep-ocean Assessment and Reporting of Tsunamis (DART) Description,Global,f7a0e9b1-d3a6-4554-bd61-8cbf5847f0df
DiCRA,India,c069be6b-fdd7-4f4a-894b-229596d8e108
Disaster Resilience for Pacific SIDS (RESPAC),"Fiji, Kiribati, Marshall Islands, Micronesi, Nauru, Palau, Papua New Guinea, Samoa, Solomon Islands, Tonga, Tuvalu, Vanuatu",acd923f9-1b10-4fe4-9207-0c4e97dc711d
Disaster robots,Japan,7e247b8e-c474-4338-8853-a4b36f291e7c
DisasterAWARE Pro,Global,965c58fa-b96f-477c-8de6-729f38bfdc86
Drones for disaster damage assessment,Vanuatu,3f04e4c3-f187-45b5-89d2-3412fbd60c8c
Drones for Social Good,Maldives,d82b633f-cc3e-4e28-a778-5b30024eba2f
Earthquake Scenarios Project,Armenia,c72fae2c-ca1b-416c-af52-8370c3b2ce31
Ecuador: Mitigating Deforestation through Sustainable Cattle Raising,Ecuador,c4340fe4-6a10-418f-9ac3-9f4aecbe9151
Empower Tracking,Global,5b259ed5-7b70-4314-9602-a31fce17d7dc
ETC Emergency Telecommunications Cluster,Global,4f6c1a43-d776-41b2-9e5a-71e3f9f9de75
Everimpact,Global,08b5871f-9640-4364-b233-d02eb95b7243
EWBS Emergency Warning Broadcast System,Philippines,879e7b06-76b5-4db8-ac5c-4eee6ead5d7f
Facebook Safety Check,Global,8b39cbc1-0e64-4964-af13-dd15dfc7add8
FASSSTER,Philippines,4f0b7fb5-5683-4473-ab62-d45e44e7ad13
Financial big data for Hurricane Odile,Mexico,7587ef49-3d55-428e-945d-98033223c6ae
Finding Water in the Driest Places,"Ethiopia, Madagascar",7cb4e4a0-ad46-4b53-be45-86c4a4dbb6f5
Firetide Wireless Mesh Network Flood Monitoring,Thailand,bee87c99-799a-47ae-8b6c-623778a62a4d
FloodMapp,United States of America,4fbe78a5-a524-47b7-96b0-bece1e42e8ac
Forecasting asylum-related migration flows with machine learning and data at scale,EU countries,da1402f8-ac3c-47db-bf9b-a570655eec49
Freshwater Ecosystems Explorer,Global,877d9aec-0efa-4e51-bf59-1e0b26ccc915
GeoDASH,Bangladesh,cb7602d1-9e7b-4870-bcaa-de162a353708
GeoNet New Zealand Earthquake Application,New Zealand,b47dd0f7-29c0-4986-b1e6-f7f9b02c0513
GEOSS Global Earth Observation Portal,Global,c9da8bd7-2a7d-412e-beb1-4d9505bc0869
Get Ready Get Thru Information Portal,New Zealand,016af21b-b47f-4ea2-824a-7110b4e387ff
Global Earthquake Model & OpenQuake Platform,Global,3d7be83d-59fe-4eda-b4ad-8d9075b8a2f4
Global Forest Watch,Global,96846b1f-404e-4cf6-ba54-8fa2f357c444
Google Person Finder Platform,Global,a46e48e4-15e0-45f0-8fc6-7884302839eb
GRID3,"Democratic Republic of the Congo, South Sudan, Zambia, Mozambique, Nigeria",7ba371a4-7d3d-49b4-a981-7db36e0d084e
Guidelines for Establishing Disaster Loss Databases,Global,1ac5cff4-3f8f-4583-a1bd-95ffd2682226
Haze Gazer,Indonesia,e3045cb6-4149-4cde-b064-7db3dcc2c67a
Help Kids Cope Application,Global,964c6d04-5ff7-4489-aebf-14e7b23e455b
Humanitarian OpenStreeMap Team,Global,2db6df60-48e4-4cca-8609-52409029b786
HYDRA,Global,ba573bb4-2d1d-4c96-92ed-0a374b6b50d2
I-CoDI - ITU's International Centre of Digital Innovation,Global,9f2e118c-94d2-4551-af91-d5055b5fa37a
I-react,EU countries,3f9c9f65-6fa9-41da-872a-4f7353025bfc
