Disaster Type,id,Ideas/Concepts/Examples
Air Pollution,6,"Measuring, Mapping and Forecasting  Air Pollution"
Climate Change,1,Disaster Resilience for Pacific SIDS (RESPAC)
Climate Change,1,Quantifying Real-Time Rainfall Intensity in Bosnia and Herzegovina
Climate Change,1,Low Cost Sensors for Pollution Monitoring
Climate Change,1,IoT for Climate in Rwanda
Climate Change,1,DiCRA
Droughts,10,AgroVision
Droughts,10,Ecuador: Mitigating Deforestation through Sustainable Cattle Raising
Droughts,10,Finding Water in the Driest Places
Droughts,10,South Asia Drought Monitoring System
Droughts,10,Freshwater Ecosystems Explorer
Earthquakes,4,Understanding Population Movement After the 2018 Central Sulawesi Natural Disasters
Earthquakes,4,Earthquake Scenarios Project
Earthquakes,4,Nepal Government Geo-Portal
Earthquakes,4,GeoNet New Zealand Earthquake Application
Earthquakes,4,Global Earthquake Model & OpenQuake Platform
Earthquakes,4,MyShake Earthquake Application
Earthquakes,4,ConvNetQuake
Earthquakes,4,Using ground sensor technology to detect earthquakes
Earthquakes,4,Strong-motion seismograph networks(K-NET)
Floods,9,Computer Vision Flood Forecasting using Remotely Sensed Data
Floods,9,Drones for Social Good
Floods,9,Space-based Flood Monitoring to Support Disaster Risk Management
Floods,9,Terai Cross-Border Flood Early Warning System
Floods,9,Firetide Wireless Mesh Network Flood Monitoring
Floods,9,Sai Fah Flood Game Application
Floods,9,Twitter during the Chennai flood
Floods,9,Internet of Things for river flooding control
Floods,9,FloodMapp
Floods,9,Bioshi
Floods,9,Monsoon Overflow
Floods,9,HYDRA
Hurricanes/Typhoons/Cyclones,3,Deep-ocean Assessment and Reporting of Tsunamis (DART) Description
Hurricanes/Typhoons/Cyclones,3,Drones for disaster damage assessment
Hurricanes/Typhoons/Cyclones,3,Financial big data for Hurricane Odile
Landslide,7,Landslide Detection Squad
Pandemic/Epidemic,11,C Bot ChatBot
Pandemic/Epidemic,11,Data Visualization of COVID-19's Impact on Food Supply Chains
Pandemic/Epidemic,11,The application framework of big data technology in the COVID-19 epidemic emergency management
Pandemic/Epidemic,11,Cholera outbreaks predicted using climate data and AI
Pandemic/Epidemic,11,Tanya Marlo
Pandemic/Epidemic,11,Map and monitor disease spreading
Pandemic/Epidemic,11,Moskeet
Pandemic/Epidemic,11,FASSSTER
Pandemic/Epidemic,11,Zzapp Malaria
Pandemic/Epidemic,11,D-MOSS
Tsunamis,5,App Tanah
Tsunamis,5,The Tsunami & Earthquake Fighter Game
Various,12,The UN Biodiversity Lab
Various,12,Data Visualization for Household and Building Damage Assessment
Various,12,Multi Hazard EWS
Various,12,UN Pilot In Mongolia Uses Blockchain To Help Farmers Deliver Sustainable Cashmere
Various,12,Red Cross Implements Crypto To Boost Disaster-Prone Communities
Various,12,Blockchain Records for Refugees
Various,12,Forecasting asylum-related migration flows with machine learning and data at scale
Various,12,4W-Wizard: AI Is Magical Tool For Faster Disaster Relief
Various,12,SKAI Platform
Various,12,Artificial Intelligence Weather Chatbot
Various,12,PRISM
Various,12,Crisis Mapping
Various,12,I-react
Various,12,Beidou Navigation Satellite System
Various,12,The Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)
Various,12,InaSAFE Hazard Impact Scenario Software
Various,12,Pakistan Disaster Info Portal
Various,12,Help Kids Cope Application
Various,12,GeoDASH
Various,12,EWBS Emergency Warning Broadcast System
Various,12,Philippines Nationwide Operational Assessment of Hazards (NOAH)
Various,12,Arko Philippines Typhoon Application
Various,12,Monster Guard Kids Mobile Application
Various,12,Mobile4D Disaster Alert System
Various,12,Guidelines for Establishing Disaster Loss Databases
Various,12,Google Person Finder Platform
Various,12,Audio-Processing-Based Human Detection at Disaster Sites With Unmanned Aerial Vehicle
Various,12,Robotics for Good
Various,12,AI-powered decision making for disaster recovery
Various,12,Using AI to better understand natural hazards and disasters
Various,12,Disaster robots
Various,12,"Be Healthy, Be Mobile (BHBM)"
Various,12,GEOSS Global Earth Observation Portal
Various,12,ThinkHazard! Hazard Data Portal
Various,12,#JustSaveIt
Various,12,UN Biodiversity Lab
Various,12,The Lockdown Learners Series
Various,12,ETC Emergency Telecommunications Cluster
Various,12,Facebook Safety Check
Various,12,Get Ready Get Thru Information Portal
Various,12,I-CoDI - ITU's International Centre of Digital Innovation
Various,12,GRID3
Various,12,Scaling-up multi-hazard early warning system and the use of climate information
Various,12,Bioverse
Various,12,DisasterAWARE Pro
Various,12,Empower Tracking
Various,12,Everimpact
Various,12,Thinking Machines Data Science
Various,12,Beacon
Various,12,Humanitarian OpenStreeMap Team
Various,12,Sealr
Various,12,MobileAid
Various,12,Aselo
Various,12,Ignitia
Various,12,Global Forest Watch
Various,12,SDGs Today
Various,12,Aqueduct Global Flood Risk Maps
Various,12,NOAA Climate
Various,12,Ushahidi Platform
Various,12,WG5 Geo-AI
Volcanos,12,Volcanoes & Earthquakes Application
Wildfires,2,Bhutan Forest Fire Detection and Monitoring System
Wildfires,2,Haze Gazer
Wildfires,2,OroraTech
Wildfires,2,D.U.Q. Method
