,Ideas/Concepts/Examples,Description,Theme,Use Case,Status/Maturity,Disaster Cycle,Technology,Disaster Type,Country of Implementation,Supporting Partners,Un Host Organisation,Data,SDG,Date of Implementation,Source
0,The UN Biodiversity Lab ,"UNDP, UN Environment, and the CBD Secretariat launched the UN Biodiversity Lab -  an interactive mapping platform designed to solve biodiversity conservation and development challenges-  as a free, open-source platform to provide policy makers with access to world-class data for national action. The spatial data platform that will help countries support conservation efforts and accelerate delivery of the 2030 Agenda.",Biodiversity ,To be fillled,production,preparedness,Geographical Information Systems,To be fillled,Global ,UNDP Nature Climate and Energy Team,"UNDP, UNEP",GIS Data,SDG 15,2016,https://www.unbiodiversitylab.org/
1,Using remote sensing and AI to map water availability and irrigation systems,"Zambia has been experiencing adverse impacts of climate change - including an increase in frequency and severity of seasonal droughts, occasional dry spells, increased temperatures in valleys, flash floods and changes in the growing season. In response to these impacts, Zambia is working to develop sustainable and appropriate programmes for both crops and livestock in the face of climate change. Some of Zambia's adaptation measures include: promotion of irrigation and efficient use of water resources, strengthening early warning systems and preparedness, and using GIS/remote sensing in mapping of drought and flood prone areas.",Climate Change Adaptation ,To be fillled,production,recovery,Geographical Information Systems,To be fillled,Zambia ,UNDP Nature Climate and Energy Team,UNDP Zambia ,GIS Data,SDG 13,2018,https://www.adaptation-undp.org/explore/africa/zambia
2,Disaster Resilience for Pacific SIDS (RESPAC),"The project Disaster Resilience for Pacific SIDS (RESPAC) aims to improve Pacific SIDS resilience to
climate-related hazards. ",Disaster Risk Management ,To be fillled,prototype,response,Geographical Information Systems,To be fillled,UNDP Pacific - FIJI ,UNDP,UNDP Pacific ,GIS Data,SDG 13,2019,https://open.undp.org/projects/00112837
3,Understanding Population Movement After the 2018 Central Sulawesi Natural Disasters,"After the massive earthquake struck Central Sulawesi, Indonesia in September 2018, through a shared value partnership with mobile telecom Digicel, Pulse Lab Jakarta (PLJ) over the past few years has investigated how pseudonymised mobile network data from subscribers in the Pacific region can be used to support evidence-based decision making. From modelling population displacement to understanding changes in citizens behaviour after natural disasters, the research has yielded actionable insights for policymakers and a wealth of experiential knowledge.",Disaster Risk Management ,To be fillled,validation,response,Geographical Information Systems,To be fillled,Indonesia," Digicel, International Organisation for Migration (IOM)",UN Pulse Lab Jakarta,GIS Data,SDG 9,2019,https://www.unglobalpulse.org/2019/12/understanding-population-movement-after-the-2018-central-sulawesi-natural-disasters/
4,Accessible Chatbot for deaf and hearing-impaired persons ,"Amid the pandemic, 7 million Egyptians with disabilities are among the most vulnerable groups. To help them access reliable information, know about their symptoms and assess whether they need assistance UNDP Egypt,  Ministry of Communications and Information Technology and Avaya, developed and launched an accessible chatbot. UNDP Egypt uses  Wasel, which means in Arabic connected, as an automated testing service that uses chatbot and artificial intelligence technology in sign language to enable access to information for the hearing impaired. It is the first in Africa and in the Middle East to use sign language chatbot technology.",Access to Information ,To be fillled,validation,response,"Artificial Intelligence, Machine Learning, Computer Vision, Natural Language Processing",To be fillled,Egypt," UNDP Egypt,  Ministry of Communications and Information Technology and Avaya",UNDP Egypt,Text messages,SDG 10,2020,https://www.eg.undp.org/content/egypt/en/home/stories/2020/artificial-intelligence-is-leaving-no-one-behind--accessible-cha.html
5,Applying Big Data for Identification of Positive Deviance,"Positive deviance is a growing approach in international development that identifies those within a population who are outperforming their peers in some way, eg, children in low‐income families who are well nourished when those around them are not. Analyzing and then disseminating the behaviors and other factors underpinning positive deviance are demonstrably effective in delivering development results. However, positive deviance faces a number of challenges that are restricting its diffusion. UNDP Accelerator Labs, GIZ Data Lab and UN Pulse Lab aims at experimenting and applying a positive deviance ""Data Powered Positive Deviance Initiative"" approach in selected Country Offices globally. The promise of “big data‐based positive deviance” is analyzing typical sources of big data in developing countries—mobile phone records, social media, remote sensing data, etc.—to identify both positive deviants and the factors underpinning their superior performance.  ",Information extraction ,To be fillled,prototype,mitigation,"Artificial Intelligence, Machine Learning, Computer Vision, Natural Language Processing",To be fillled,Global ,"UNDP Accelarotor Labs, GIZ Data Lab and UN Pulse Lab, University of Manchester Center for Digital Development",UN Pulse Labs,"Text messages, Blogposts","SDG 3, SDG 9",2020,https://medium.com/@dppd/launching-the-data-powered-positive-deviance-initiative-6872cd9208f9
6,Quantifying Real-Time Rainfall Intensity in Bosnia and Herzegovina,"Accurate, spatially dense real-time rainfall measurements are essential for water management of any region, which in turn impacts agriculture, transportation and mobility, energy and weather hazards. After the war in Bosnia and Herzegovina, only 100 out of 500 rainfall stations have remained operational, hampering its spatial hydrological data collection. The project employs Big Data and Machine Learning, to fill in the missing gap by turning CCTV footage and videos obtained by smartphones into a real-time rainfall observation, allowing for accurately geo-referenced and cost-effective data collection. All the information collected is then available on the web portal and enable the authorities to be better prepared for meteorologically and hydrologically based hazards and associated risks for the population and to lead to a better-informed policymaking.","Environment, Agriculture",To be fillled,prototype,recovery,"Artificial Intelligence, Machine Learning, Computer Vision, Natural Language Processing",To be fillled,Bosnia and Herzegovina ,"AQUA PROCON, H2i Balkans","UNDP Czech Challenge Fund, UNDP Bosnia and Herzegovina",Videos,SDG 13,2020,https://undp.cz/portfolio-item/quantifying-real-time-rainfall-intensity-in-bosnia-and-herzegovina/
7,"Measuring, Mapping and Forecasting  Air polutions"," With increasing traffic and  worsening global air pollution Belarus is facing the challenge of worsening air quality. Belarus UNDP partnered with Polish tech start-up Airly to implement an innovative solution that will allow constant monitoring of the situation in order to help prepare for possible threats and even take actions to prevent them. Airly sensors collect the data on air quality, and by using machine learning technology, Airly also provides reliable forecasts, which as a whole is a very powerful tool in the fight against air pollution and its effects.",Environment,To be fillled,production,mitigation,"Artificial Intelligence, Machine Learning, Computer Vision, Natural Language Processing",To be fillled,Belarus,"Airly, VidaLink, Ministry of Foreign Affairs of the Republic of Poland.","UNDP Polish Challenge Fund, UNDP Belarus",GIS Data,"SDG 3, 13, 15",2021,https://airly.eu/en/blog/exchange-of-air-pollution-monitoring-and-forecasting-solutions-using-machine-learning-technologies-and-analytics/
8,"Towards an Understanding of Refugee Segregation, Isolation, Homophily and Ultimately Integration in Turkey Using Call Detail Records","The refugee situation in Turkey is of great concern to humanitarian actors. Approximately 90% of the estimated 3.5 million refugees settled in the country live outside of UNHCR (the UN refugee agency) operated camps. The main durable solution for these populations is integration into Turkish society. So The Call Detail Records (CDRs) used in this work were provided by Türk Telekom through the Data for Refugees (D4R). Call Detail Records (CDRs) are digital traces of telephone exchanges and they document the details of phone calls and text message communications. CDRs often include information on the time of a call, its duration, the identification numbers of the cell towers through which it transited, and the source and receiving numbers.",Disaster Risk Management ,To be fillled,production,mitigation,Geographical Information Systems,To be fillled,Turkey,"Türk Telekom, UNDP",UNHCR,Spatial,"SDG 9, 11",2017,https://d4r-turktelekom.unglobalpulse.net/
9,Computer Vision Flood Forecasting using Remotely Sensed Data,"Regional flood forecasting and modeling is a big problem in the hydrological sciences. The issue is even more pronounced in Bosnia and Herzegovina due to inadequate hydro meteorological monitoring network, where only 100 out of 500 rainfall stations remained operational after the war. The project solicits the latest technology from different fields: Remote Sensing to acquire Earth Observations (EO) data, Computer Vision to process these data and Machine Learning (ML) to develop models in order to relate meteorological and other EO data with flooding. The approach is deployed to address one of the most pressing problems B&H currently faces – increasingly frequent occurrence of floods, and shall result in accurate models of rainfall–runoff behavior’s, which would help Water Agencies and the Federal Hydro Meteorological Institute with flood prediction and management.",Disaster Risk Management ,To be fillled,prototype,recovery,"Artificial Intelligence, Machine Learning, Computer Vision, Natural Language Processing",To be fillled,Bosnia and Herzegovina ," GISAT, H2i Balkans ",UNDP Bosnia and Herzegovina,Spatial,SDG 13,2021,https://undp.cz/portfolio-item/computer-vision-flood-forecasting-using-remotely-sensed-data/
